scan,scan_ns,pid,alias,anchor_rep,published_raw,d,y,v,a,member_age_s
155,3380890383655,1000004,36,5,5,23.43654441833496,-4.15625,-2.5,0.014958284706777375,0.025382105000000002
156,3380990200364,1000004,36,5,5,23.18695068359375,-4.0625,-2.5,0.08196265661249497,0.025219412
157,3381090172683,1000004,36,5,5,22.687946319580078,-4.09375,-2.5,0.1475172510919259,0.024821326
158,3381190164324,1000004,36,5,5,22.686054229736328,-4.09375,-2.5,0.14748783187186318,0.025578596000000002
159,3381290351206,1000004,36,5,5,22.437829971313477,-4.0,-2.5,0.28876332458443865,0.024868248000000003
160,3381391774845,1000004,36,5,5,22.191604614257812,-4.03125,-2.5,0.23780057222973194,0.023358288
161,3381492064946,1000004,36,5,5,21.94247055053711,-4.15625,-2.5,0.23858841186762308,0.023011915
162,3381591933213,1000004,36,5,5,21.696224212646484,-4.125,-2.25,0.7423722365834278,0.023900163000000002
163,3381690499208,1000004,36,5,5,21.444917678833008,-4.0,-2.25,0.7570738819589155,0.024480837000000002
164,3381790445020,1000004,36,5,5,21.19065284729004,-4.09375,-2.25,0.6915780031059159,0.026376228
165,3381890464366,1000004,36,5,5,21.191387176513672,-4.09375,-2.25,0.5960144566999249,0.026050478000000002
166,3381990844146,1000004,36,5,5,20.9448184967041,-4.03125,-2.25,0.5002586449291496,0.024525312
167,3382090504412,1000004,36,5,5,20.693315505981445,-4.09375,-2.25,0.4378140256293654,0.025193269
168,3382190165719,1000004,36,5,5,20.4359130859375,-3.875,-2.5,-0.16461407775917586,0.025634737
169,3382290354893,1000004,36,5,5,20.187620162963867,-3.9375,-2.5,-0.25445454889540875,0.024951833000000003
170,3382390283935,1000004,36,5,5,19.935657501220703,-3.90625,-2.5,-0.2098800294367168,0.025736654
171,3382490851978,1000004,36,5,5,19.689861297607422,-3.9375,-2.5,-0.08119029808285794,0.024055566
172,3382590652960,1000004,36,5,5,19.437837600708008,-3.90625,-2.5,0.014811449738695415,0.024865175000000003
173,3382690261199,1000004,36,5,5,19.187475204467773,-3.9375,-2.5,0.06172663707158494,0.025009589000000002
174,3382790099052,1000004,36,5,5,18.936134338378906,-3.9375,-2.5,0.13012511970805174,0.025546256000000003
175,3382890646889,1000004,36,5,5,18.68767547607422,-4.0,-2.5,0.12923354847989255,0.024929649
176,3382992030376,1000004,36,5,5,18.463857650756836,-4.0,-2.5,0.0434155405111738,0.014456847
177,3383092439685,1000004,36,5,5,18.19818878173828,-3.9375,-2.5,-0.02288588564110748,0.020724217
178,3383191552138,1000004,36,5,5,17.939617156982422,-3.90625,-2.5,-0.04197149548515594,0.024152796
179,3383290147766,1000004,36,5,5,17.68659210205078,-3.90625,-2.5,-0.07408195986090714,0.025363253000000002
180,3383390307151,1000004,36,5,5,17.44062614440918,-3.9375,-2.25,0.397478815663559,0.026388207
181,3383490660163,1000004,36,5,5,17.19125747680664,-3.9375,-2.25,0.4811430453384121,0.026107504
182,3383589867295,1000004,36,5,5,17.19258689880371,-3.9375,-2.25,0.4011420679381731,0.025516780000000003
183,3383691048197,1000004,36,5,5,16.945314407348633,-3.9375,-2.25,0.2380335088355482,0.024305072
184,3383789981709,1000004,36,5,5,16.69141960144043,-3.65625,-2.25,0.1873874919640819,0.026035793
185,3383890791084,1000004,36,5,5,16.44548797607422,-3.625,-2.25,0.08166453406414911,0.024227788
186,3383990411666,1000004,36,5,5,16.19020652770996,-3.5625,-2.25,0.012263041323510915,0.026574751
187,3384089992199,1000004,36,5,5,16.193586349487305,-3.5625,-2.25,-0.07559439188693715,0.025072708000000003
188,3384190090340,1000004,36,5,5,15.442351341247559,-3.78125,-2.25,-0.10232027944609015,0.025621822000000002
189,3384291063293,1000004,36,5,5,15.4461088180542,-3.78125,-2.25,-0.10048559857212794,0.023951617
190,3384390871149,1000004,36,5,5,15.194229125976562,-3.75,-2.25,-0.10427121192429821,0.024786849000000003
191,3384490371951,1000004,36,5,5,14.943913459777832,-3.75,-2.25,-0.12066262831773754,0.024927252
192,3384591456768,1000004,36,5,5,14.718671798706055,-3.75,-2.25,-0.12261144387912938,0.013923513
193,3384691802020,1000004,36,5,5,14.703704833984375,-3.71875,-2.0,0.3098879068085557,0.023147631000000002
194,3384791615969,1000004,36,5,5,14.451888084411621,-3.46875,-2.0,0.3107007496359744,0.024055722
195,3384889999690,1000004,36,5,5,14.200514793395996,-3.46875,-2.0,0.32377104679733343,0.024742739000000003
196,3384990163970,1000004,36,5,5,14.196060180664062,-3.4375,-2.0,0.19361717037247012,0.026969818000000003
197,3385090739721,1000004,36,5,5,14.44943618774414,-4.03125,-2.0,0.16612143322467054,0.025282063
