event_id,key,route,segment,split_scan,split_ns,parent_pid,parent_alias,parent_published_before,published_child_count,published_child_pids,publication_gap,new_public_point,alias_change,representative_change,external_visible,internal_only
00000245--2c15eb5d45--21:326:1000360:330|331,00000245--2c15eb5d45--21,00000245,21,326,1348499548679,1000360,67,1,2,1000360|1000381,0,1,0,0,1,0
00000245--2c15eb5d45--21:335:1000359:348|352,00000245--2c15eb5d45--21,00000245,21,335,1349399864354,1000359,85,1,2,1000359|1000361,0,1,0,0,1,0
00000245--2c15eb5d45--21:357:1000401:386|389,00000245--2c15eb5d45--21,00000245,21,357,1351599633983,1000401,62,1,2,1000401|1000426,0,1,0,0,1,0
00000245--2c15eb5d45--21:393:1000437:421|425,00000245--2c15eb5d45--21,00000245,21,393,1355198998655,1000437,93,1,2,1000437|1000478,0,1,0,0,1,0
00000245--2c15eb5d45--21:402:1000476:461|465,00000245--2c15eb5d45--21,00000245,21,402,1356099313944,1000476,78,1,2,1000476|1000487,0,1,0,0,1,0
00000245--2c15eb5d45--21:448:1000562:543|544,00000245--2c15eb5d45--21,00000245,21,448,1360699334222,1000562,70,1,2,1000562|1000565,0,1,0,0,1,0
00000245--2c15eb5d45--21:466:1000572:552|557,00000245--2c15eb5d45--21,00000245,21,466,1362499445268,1000572,48,1,2,1000572|1000594,0,1,0,0,1,0
00000245--2c15eb5d45--21:479:1000585:564|565,00000245--2c15eb5d45--21,00000245,21,479,1363799605621,1000585,40,1,2,1000585|1000612,0,1,0,0,1,0
00000245--2c15eb5d45--21:506:1000656:601|628,00000245--2c15eb5d45--21,00000245,21,506,1366499044820,1000656,80,1,2,1000656|1000663,0,1,0,0,1,0
00000245--2c15eb5d45--21:529:1000651:624|639,00000245--2c15eb5d45--21,00000245,21,529,1368799018746,1000651,64,1,2,1000651|1000691,0,1,0,0,1,0
00000245--2c15eb5d45--21:553:1000701:666|668,00000245--2c15eb5d45--21,00000245,21,553,1371199433790,1000701,45,1,2,1000701|1000726,0,1,0,0,1,0
00000245--2c15eb5d45--21:558:1000716:680|682,00000245--2c15eb5d45--21,00000245,21,558,1371689620279,1000716,76,1,2,1000716|1000736,0,1,0,0,1,0
00000245--2c15eb5d45--21:558:1000721:685|688,00000245--2c15eb5d45--21,00000245,21,558,1371689620279,1000721,94,1,2,1000721|1000737,0,1,0,0,1,0
00000245--2c15eb5d45--21:561:1000721:682|685,00000245--2c15eb5d45--21,00000245,21,561,1371989271171,1000721,94,1,2,1000721|1000742,0,1,0,0,1,0
00000245--2c15eb5d45--21:588:1000779:738|748,00000245--2c15eb5d45--21,00000245,21,588,1374691543450,1000779,63,1,2,1000779|1000793,0,1,0,0,1,0
00000245--2c15eb5d45--21:595:1000794:752|756,00000245--2c15eb5d45--21,00000245,21,595,1375389260465,1000794,90,1,2,1000794|1000807,0,1,0,0,1,0
00000245--2c15eb5d45--32:64:1000019:26|27,00000245--2c15eb5d45--32,00000245,32,64,1982408906805,1000019,51,1,2,1000019|1000033,0,1,0,0,1,0
00000245--2c15eb5d45--32:73:1000019:26|37,00000245--2c15eb5d45--32,00000245,32,73,1983309691319,1000019,51,1,2,1000019|1000040,0,1,0,0,1,0
00000245--2c15eb5d45--32:155:1000028:37|45,00000245--2c15eb5d45--32,00000245,32,155,1991509177728,1000028,60,1,2,1000028|1000046,0,1,0,1,1,0
00000245--2c15eb5d45--32:179:1000037:33|36|51,00000245--2c15eb5d45--32,00000245,32,179,1993908822470,1000037,69,1,2,1000037|1000059,0,1,0,0,1,0
00000245--2c15eb5d45--32:188:1000064:33|60,00000245--2c15eb5d45--32,00000245,32,188,1994808942623,1000064,36,1,2,1000064|1000067,0,1,0,0,1,0
00000245--2c15eb5d45--32:201:1000058:56|59,00000245--2c15eb5d45--32,00000245,32,201,1996109691848,1000058,90,1,2,1000058|1000085,0,1,0,0,1,0
00000245--2c15eb5d45--32:217:1000070:65|70,00000245--2c15eb5d45--32,00000245,32,217,1997708924441,1000070,34,1,2,1000070|1000096,0,1,0,0,1,0
00000245--2c15eb5d45--32:291:1000188:179|181,00000245--2c15eb5d45--32,00000245,32,291,2005109557092,1000188,57,1,2,1000188|1000196,0,1,0,0,1,0
00000245--2c15eb5d45--32:293:1000176:167|172,00000245--2c15eb5d45--32,00000245,32,293,2005310802735,1000176,48,1,2,1000176|1000200,0,1,0,0,1,0
00000245--2c15eb5d45--32:293:1000182:173|178|184,00000245--2c15eb5d45--32,00000245,32,293,2005310802735,1000182,45,1,2,1000182|1000201,0,1,0,1,1,0
00000245--2c15eb5d45--32:293:1000189:180|185,00000245--2c15eb5d45--32,00000245,32,293,2005310802735,1000189,40,1,2,1000189|1000202,0,1,0,0,1,0
00000245--2c15eb5d45--32:359:1000233:218|222,00000245--2c15eb5d45--32,00000245,32,359,2011921729630,1000233,87,1,2,1000233|1000240,0,1,0,0,1,0
00000245--2c15eb5d45--32:443:1000275:253|259|260,00000245--2c15eb5d45--32,00000245,32,443,2020319273518,1000275,69,1,2,1000275|1000277,0,1,0,0,1,0
00000245--2c15eb5d45--32:444:1000275:253|259,00000245--2c15eb5d45--32,00000245,32,444,2020418735907,1000275,69,1,2,1000275|1000277,0,1,0,1,1,0
00000245--2c15eb5d45--7:9:1000000:1|13,00000245--2c15eb5d45--7,00000245,7,9,476859327728,1000000,32,1,2,1000000|1000015,0,1,0,0,1,0
00000245--2c15eb5d45--7:18:1000037:38|40,00000245--2c15eb5d45--7,00000245,7,18,477760485755,1000037,69,1,2,1000037|1000057,0,1,0,0,1,0
00000245--2c15eb5d45--7:22:1000052:51|54,00000245--2c15eb5d45--7,00000245,7,22,478159492732,1000052,84,1,2,1000052|1000064,0,1,0,0,1,0
00000245--2c15eb5d45--7:27:1000030:31|39,00000245--2c15eb5d45--7,00000245,7,27,478658736103,1000030,62,1,2,1000030|1000076,0,1,0,0,1,0
00000245--2c15eb5d45--7:30:1000014:15|39,00000245--2c15eb5d45--7,00000245,7,30,478959773552,1000014,46,1,2,1000014|1000085,0,1,0,0,1,0
00000245--2c15eb5d45--7:57:1000099:94|95|106,00000245--2c15eb5d45--7,00000245,7,57,481659670392,1000099,83,1,2,1000099|1000133,0,1,0,0,1,0
