case,route,segment,scan_s,scan_ns,raw_slot,raw_track_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera_assoc,oem_word1,published,state,prior_gt
R259_S2_HARD_NEGATIVE,route259,2,22.229291,214508897153,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.329569,214609174240,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.429404,214709009444,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.52993,214809535921,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.629973,214909578265,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.729224,215008829427,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.829142,215108747602,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,22.939127,215218733183,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.039395,215319000740,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.138994,215418599623,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.239847,215519452697,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.339737,215619342310,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.439792,215719397287,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.541211,215820816274,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.641829,215921434354,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.739876,216019481393,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.851047,216130652869,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,23.949849,216229454323,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.049637,216329242417,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.149006,216428611417,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.24937,216528975740,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.349042,216628647852,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.450022,216729627765,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.549513,216829118484,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.649951,216929557145,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.759767,217039373029,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.860039,217139644980,7|8,5|59,1000004,36,15.5,-6.90625,0.0,5|59,5,0,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
R259_S2_HARD_NEGATIVE,route259,2,24.860039,217139644980,16,85,1000106,86,10.5,1.34375,0.0,85,85,1,0,1,OBSERVED_QUALIFIED,DIFFERENT_OTHER
