key,policy,scan,scan_ns,effect,baseline_lead1,candidate_lead1,baseline_lead2,candidate_lead2
00000252--d191bee66c--1,E,246,158948361978,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,256,159948121708,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,257,160048806569,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,258,160148787139,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,259,160248381173,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,262,160548317015,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,264,160748155474,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,267,161048819359,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,268,161148258582,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,269,161247755578,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,270,161348310817,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,271,161448082820,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,272,161548651652,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,274,161748411853,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,275,161848449049,LEAD_ID_CHANGED,67,94,-1,-1
00000252--d191bee66c--1,E,278,162148599430,LEAD_ID_CHANGED,93,38,-1,-1
00000252--d191bee66c--1,E,311,165448457538,LEAD_ID_CHANGED,60,54,-1,-1
00000252--d191bee66c--1,E,312,165548267819,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,313,165648388186,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,314,165748814317,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,315,165848775502,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,316,165948893109,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,317,166047883421,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,318,166147908654,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,319,166247999055,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,320,166348359114,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,321,166448560669,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,322,166548272228,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,323,166648023986,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,324,166748827698,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,325,166848553890,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,326,166948063150,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,327,167048183004,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,328,167147920963,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,329,167247906238,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,330,167349738315,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,331,167449740787,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,332,167548569087,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,333,167648496212,LEAD_ID_CHANGED,87,36,-1,-1
